59437056,49278976,17552504
60510208,50327552,27460552
60530688,50327552,10749288
59805696,49278976,20688104
59805696,49278976,16812896
59801600,49278976,14591888
59826176,49278976,24020152
59826176,49278976,22970440
60874752,50327552,5731320
59813888,49278976,15142424
59805696,49278976,11892216
59813888,49278976,21602672
59826176,49278976,21110880
59826176,49278976,19368224
60874752,50327552,18448168
60874752,50327552,11964896
59826176,49278976,7882592
59809792,49278976,18045440
59805696,49278976,16672496
59826176,49278976,14615272
60874752,50327552,23904952
60874752,50327552,6468944
59793408,49278976,16667696
59801600,49278976,12967936
59805696,49278976,12017392
59826176,49278976,21917568
59826176,49278976,20164704
60874752,50327552,18050256
60874752,50327552,11130632
60874752,50327552,20435176
60874752,50327552,16193296
60874752,50327552,14526968
60874752,50327552,24024240
60874752,50327552,22285872
60874752,50327552,20271864
60874752,50327552,13907528
60878848,50327552,9767832
60887040,50327552,19749504
60887040,50327552,18838872
60891136,50327552,17160088
60891136,50327552,27018008
60891136,50327552,9405416
60891136,50327552,18960376
60891136,50327552,15565008
60891136,50327552,14220792
60891136,50327552,24086344
60891136,50327552,22895216
60891136,50327552,4998272
60891136,50327552,14449648
60891136,50327552,10642208
60891136,50327552,20245208
60891136,50327552,18914744
60891136,50327552,17269088
60891136,50327552,27485920
60891136,50327552,10323144
60891136,50327552,20120768
60899328,50327552,15675728
60899328,50327552,13687904
60899328,50327552,16878568
60899328,50327552,16883984
60899328,50327552,16901224
